primary_id,design_id,strategy_id,future_id
0,0,0,0
77077,0,7001,0
78078,0,7002,0
79079,0,7003,0
80080,0,7004,0
81081,0,7005,0
82082,0,7006,0
83083,0,7007,0
84084,0,7008,0
85085,0,7009,0
86086,0,7010,0
87087,0,7011,0
88088,0,7012,0
89089,0,7013,0
90090,0,7014,0
91091,0,7015,0
92092,0,7016,0
93093,0,7017,0
94094,0,7018,0
95095,0,7019,0
96096,0,7020,0
97097,0,7021,0
98098,0,7022,0
99099,0,7023,0
100100,0,7024,0
101101,0,7025,0
102102,0,7026,0
103103,0,7027,0
104104,0,7028,0
105105,0,7029,0
106106,0,7030,0
107107,0,7031,0
108108,0,7032,0
109109,0,7033,0
110110,0,7034,0
111111,0,7035,0
112112,0,7036,0
113113,0,7037,0
114114,0,7038,0
115115,0,7039,0
116116,0,7040,0
117117,0,7041,0
118118,0,7042,0
119119,0,7043,0
120120,0,7044,0
121121,0,7045,0
122122,0,7046,0
123123,0,7047,0
124124,0,7048,0
125125,0,7049,0
126126,0,7050,0
127127,0,7051,0
128128,0,7052,0
129129,0,7053,0
130130,0,7054,0
131131,0,7055,0
132132,0,7056,0
133133,0,7057,0
134134,0,7058,0
135135,0,7059,0
136136,0,7060,0
137137,0,7061,0
